Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	183.8905	-158.6152	342.5057	0.003625842	3.712926	4.456145	0.2429492
6	183.1369	-159.3687	342.5057	0.003625842	3.712926	4.456145	0.2429492
12	183.7582	-158.7475	342.5057	0.003625842	3.712926	4.456145	0.2429492
18	190.304	-152.2017	342.5057	0.003625842	3.712926	4.456145	0.2429492
24	190.1363	-152.3694	342.5057	0.003625842	3.712926	4.456145	0.2429492
30	190.1447	-152.361	342.5057	0.003625842	3.712926	4.456145	0.2429492
36	189.8551	-152.6506	342.5057	0.003625842	3.712926	4.456145	0.2429492
42	189.676	-152.8297	342.5057	0.003625842	3.712926	4.456145	0.2429492
48	190.2227	-152.283	342.5057	0.003625842	3.712926	4.456145	0.2429492
54	189.6507	-152.855	342.5057	0.003625842	3.712926	4.456145	0.2429492
60	189.8915	-152.6142	342.5057	0.003625842	3.712926	4.456145	0.2429492
66	189.9645	-152.5411	342.5057	0.003625842	3.712926	4.456145	0.2429492
72	189.8444	-152.6613	342.5057	0.003625842	3.712926	4.456145	0.2429492
78	190.0643	-152.4414	342.5057	0.003625842	3.712926	4.456145	0.2429492
84	189.9555	-152.5502	342.5057	0.003625842	3.712926	4.456145	0.2429492
90	190.2248	-152.2808	342.5057	0.003625842	3.712926	4.456145	0.2429492
96	189.9253	-152.5804	342.5057	0.003625842	3.712926	4.456145	0.2429492
102	190.306	-152.1997	342.5057	0.003625842	3.712926	4.456145	0.2429492
108	189.5774	-152.9283	342.5057	0.003625842	3.712926	4.456145	0.2429492
114	188.4083	-154.0974	342.5057	0.003625842	3.712926	4.456145	0.2429492
120	190.6031	-151.9026	342.5057	0.003625842	3.712926	4.456145	0.2429492
126	190.5075	-151.9982	342.5057	0.003625842	3.712926	4.456145	0.2429492
132	189.5578	-152.9479	342.5057	0.003625842	3.712926	4.456145	0.2429492
138	188.8416	-153.664	342.5057	0.003625842	3.712926	4.456145	0.2429492
144	188.8836	-153.6221	342.5057	0.003625842	3.712926	4.456145	0.2429492
150	189.28	-153.2257	342.5057	0.003625842	3.712926	4.456145	0.2429492
156	189.1316	-153.374	342.5057	0.003625842	3.712926	4.456145	0.2429492
162	189.572	-152.9337	342.5057	0.003625842	3.712926	4.456145	0.2429492
168	186.7043	-155.8013	342.5057	0.003625842	3.712926	4.456145	0.2429492
174	189.6098	-152.8959	342.5057	0.003625842	3.712926	4.456145	0.2429492
180	189.0762	-153.4295	342.5057	0.003625842	3.712926	4.456145	0.2429492
186	189.3338	-153.1719	342.5057	0.003625842	3.712926	4.456145	0.2429492
192	189.2803	-153.2254	342.5057	0.003625842	3.712926	4.456145	0.2429492
198	189.2289	-153.2768	342.5057	0.003625842	3.712926	4.456145	0.2429492
204	189.0883	-153.4174	342.5057	0.003625842	3.712926	4.456145	0.2429492
210	189.0759	-153.4298	342.5057	0.003625842	3.712926	4.456145	0.2429492
216	189.125	-153.3807	342.5057	0.003625842	3.712926	4.456145	0.2429492
222	190.0703	-152.4354	342.5057	0.003625842	3.712926	4.456145	0.2429492
228	190.1558	-152.3499	342.5057	0.003625842	3.712926	4.456145	0.2429492
234	178.3132	-164.7468	343.0601	0.2628602	2.548636	4.059825	0.4632259
240	190.6007	-151.905	342.5057	0.003625842	3.712926	4.456145	0.2429492
246	189.684	-152.8217	342.5057	0.003625842	3.712926	4.456145	0.2429492
252	189.9198	-152.5859	342.5057	0.003625842	3.712926	4.456145	0.2429492
258	189.847	-152.6587	342.5057	0.003625842	3.712926	4.456145	0.2429492
